"Save and Continue Edit","Save and Continue Edit"
"Page Categories","Page Categories"
"Store View","Store View"
Categories,Categories
"Meta Tags","Meta Tags"
"Add Texts","Add Texts"
"Page Title","Page Title"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Canonical Url","Canonical Url"
"It's not the page URL. It's HTML tag as per","It's not the page URL. It's HTML tag as per"
Selections,Selections
"Add Selection","Add Selection"
"Select attribute","Select attribute"
Filter,Filter
"Selection #%1","Selection #%1"
Value,Value
Remove,Remove
"Page Text","Page Text"
Title,Title
Description,Description
"Top CMS block","Top CMS block"
"Page Information","Page Information"
"Attribute doesn't exists","Attribute doesn't exists"
"We can't fetch attribute options.","We can't fetch attribute options."
"The page has been deleted.","The page has been deleted."
"We can't find a page to delete.","We can't find a page to delete."
"Manage Pages","Manage Pages"
"This page no longer exists.","This page no longer exists."
"Edit Improved Navigation Page","Edit Improved Navigation Page"
"New Improved Navigation Page","New Improved Navigation Page"
"Improved Navigation Pages","Improved Navigation Pages"
CMS,CMS
"Manage Layered Navigation: Pages","Manage Layered Navigation: Pages"
Pages,Pages
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved this page.","You saved this page."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"Replace Category's Data","Replace Category's Data"
"After Category's Data","After Category's Data"
"Before Category's Data","Before Category's Data"
Edit,Edit
"Improved Layered Navigation: Pages","Improved Layered Navigation: Pages"
General,General
"Add New Page","Add New Page"
Delete,Delete
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
